Comprobante;Origen - Nombre de base de datos;Fecha;Vendedor - Nombre;Lista de precios - Descripción;Proveedor - Nombre;Artículo - Descripción;Artículo - Código;Color - Código;Talle - Descripción;Item - Cantidad;Item - Monto Neto
FCV B 0001-00000196;CORDOBA2;08/04/2026;Julieta Fernandez;PUBLICO;INTENSIVO SA;BOTIN TREKKIN TRONADOR;U2001;G3;42;1;122192,8928
FCV B 0001-00000096;CORDOBA2;06/03/2026;Sofia Perazzo;PUBLICO;INTENSIVO SA;BOTIN TREKKING LANIN;U2000;H2;41;1;122377,9589
FCV B 0050-00000040;CORDOBA2;04/05/2026;Sofia Perazzo;PUBLICO;INTENSIVO SA;BOTIN TREKKING LANIN;U2000;H2;42;1;122400
FCV B 0050-00000045;CORDOBA2;05/05/2026;Julieta Fernandez;PUBLICO;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;G1;42;1;71200
FCV B 0001-00000191;CORDOBA2;06/04/2026;Julieta Fernandez;PUBLICO;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;G1;40;1;71157,2312
FCV B 0001-00000191;CORDOBA2;06/04/2026;Julieta Fernandez;PUBLICO;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;H5;43;2;142314,4556
FCV B 0001-00000202;CORDOBA2;09/04/2026;Nicolas Urricelqui;PUBLICO;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;H5;43;-1;-79100
FCV B 0050-00000056;CORDOBA2;06/05/2026;Nicolas Urricelqui;PUBLICO;TKW S.A.;BOTIN RURAL RODEO;U372;G3;43;1;138416,8504
FEN A 0028-00000192;CORDOBA;28/04/2026;Chistian Videla;PUBLICO;INTENSIVO SA;BOTIN TREKKIN TRONADOR;U2001;G3;42;1;136000
FEN B 0028-00000281;CORDOBA;12/03/2026;Chistian Videla;PUBLICO;INTENSIVO SA;BOTIN TREKKING LANIN;U2000;H2;41;1;129200
FEN B 0028-00000729;CORDOBA;04/05/2026;Julieta Fernandez;PUBLICO;INTENSIVO SA;BOTIN TREKKIN TRONADOR;U2001;G3;39;1;136000
FEN B 0028-00000391;CORDOBA;27/03/2026;Julieta Fernandez;PUBLICO;INTENSIVO SA;ZAPATILLA TREKKING DAMA LEÑAS ROSA;U721144001;H3;38;1;118500
FEN A 0028-00000069;CORDOBA;13/03/2026;Julieta Fernandez;PUBLICO;INTENSIVO SA;BOTIN TREKKING LANIN;U2000;H2;41;1;122394,1219
FEN B 0028-00000497;CORDOBA;09/04/2026;Julieta Fernandez;PUBLICO;INTENSIVO SA;ZAPATILLA TREKKING OTTO;U2003;G3;41;-1;-118500
FEN B 0028-00000497;CORDOBA;09/04/2026;Julieta Fernandez;PUBLICO;INTENSIVO SA;ZAPATILLA TREKKING OTTO;U2003;G3;42;1;118500
FEN A 0028-00000075;CORDOBA;16/03/2026;Julieta Fernandez;PUBLICO;INTENSIVO SA;ZAPATILLA TREKKING OTTO;U2003;G3;42;1;112575,0001
FEN B 0028-00000624;CORDOBA;22/04/2026;Julieta Fernandez;PUBLICO;INTENSIVO SA;BOTIN TREKKING CASTOR;321173003;H2;41;1;109000
FEN B 0028-00000564;CORDOBA;15/04/2026;Julieta Fernandez;PUBLICO;INTENSIVO SA;ZAPATILLA TREKKING OTTO;U2003;G3;42;1;118500
FEN B 0028-00000124;CORDOBA;23/02/2026;Julieta Fernandez;PUBLICO;INTENSIVO SA;PLANTILLA PU GEL;U00173508;V1;UNICO;2;26000
FEN B 0028-00000574;CORDOBA;16/04/2026;Julieta Fernandez;PUBLICO;INTENSIVO SA;PLANTILLA PU GEL;U00173508;V1;UNICO;1;13000
FEN B 0028-00000384;CORDOBA;26/03/2026;Julieta Fernandez;PUBLICO;INTENSIVO SA;ZAPATILLA TREKKING OTTO;U2003;G3;40;1;118500
FEN A 0028-00000095;CORDOBA;20/03/2026;Sofia Perazzo;MAYORISTA;INTENSIVO SA;ZAPATILLA TREKKING OTTO;U2003;G3;41;1;95500
FEN B 0028-00000601;CORDOBA;20/04/2026;Sofia Perazzo;PUBLICO;INTENSIVO SA;BOTIN TREKKING CASTOR;321173003;H2;41;-1;-109000
FEN B 0028-00000601;CORDOBA;20/04/2026;Sofia Perazzo;PUBLICO;INTENSIVO SA;BOTIN TREKKING CASTOR;321173003;H2;42;1;109000
FEN B 0028-00000136;CORDOBA;25/02/2026;Sofia Perazzo;PUBLICO;INTENSIVO SA;PLANTILLA PU GEL;U00173508;V1;UNICO;1;12349,9999
FEN A 0028-00000062;CORDOBA;11/03/2026;Julieta Fernandez;PUBLICO;INTENSIVO SA;ZAPATILLA TREKKING OTTO;U2003;G3;43;1;118500
FEN B 0028-00000248;CORDOBA;09/03/2026;Sofia Perazzo;PUBLICO;INTENSIVO SA;BOTIN TREKKING CASTOR;321173003;H2;44;1;103550
FEN A 0028-00000138;CORDOBA;08/04/2026;Sofia Perazzo;PUBLICO;INTENSIVO SA;BOTIN TREKKING CASTOR;321173003;H2;42;1;109000
FEN B 0028-00000485;CORDOBA;08/04/2026;Nicolas Urricelqui;PUBLICO;INTENSIVO SA;ZAPATILLA TREKKING OTTO;U2003;G3;41;1;118500
FEN B 0028-00000216;CORDOBA;05/03/2026;Nicolas Urricelqui;PUBLICO;INTENSIVO SA;ZAPATILLA TREKKING OTTO;U2003;G3;45;1;118500
FEN A 0028-00000097;CORDOBA;21/03/2026;Nicolas Urricelqui;PUBLICO;INTENSIVO SA;BOTIN TREKKING LANIN;U2000;H2;42;1;136000
FEN B 0028-00000589;CORDOBA;17/04/2026;Nicolas Urricelqui;PUBLICO;INTENSIVO SA;ZAPATILLA TREKKING OTTO;U2003;G3;39;1;112575
FEN A 0028-00000073;CORDOBA;16/03/2026;Nicolas Urricelqui;PUBLICO;INTENSIVO SA;BOTIN TREKKIN TRONADOR;U2001;G3;43;1;136000
FEN B 0028-00000373;CORDOBA;23/03/2026;Nicolas Urricelqui;PUBLICO;INTENSIVO SA;BOTIN TREKKING CASTOR;321173003;H2;44;1;109000
FEN B 0028-00000529;CORDOBA;13/04/2026;Nicolas Urricelqui;PUBLICO;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;H5;41;1;79100
FEN B 0028-00000475;CORDOBA;08/04/2026;Sofia Perazzo;MAYORISTA;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;G1;43;3;187500
FEN B 0028-00000144;CORDOBA;26/02/2026;Sofia Perazzo;PUBLICO;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;G1;43;1;79100
FEN B 0028-00000475;CORDOBA;08/04/2026;Sofia Perazzo;MAYORISTA;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;G1;45;6;375000
FEN A 0028-00000107;CORDOBA;26/03/2026;Julieta Fernandez;PUBLICO;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;H5;42;1;79100
FEN B 0028-00000475;CORDOBA;08/04/2026;Sofia Perazzo;MAYORISTA;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;G1;41;3;187500
FEN B 0028-00000475;CORDOBA;08/04/2026;Sofia Perazzo;MAYORISTA;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;G1;39;1;62500
FEN B 0028-00000475;CORDOBA;08/04/2026;Sofia Perazzo;MAYORISTA;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;G1;42;6;375000
FEN B 0028-00000475;CORDOBA;08/04/2026;Sofia Perazzo;MAYORISTA;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;G1;40;2;125000
FEN B 0028-00000479;CORDOBA;08/04/2026;Julieta Fernandez;PUBLICO;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;H5;41;1;79100
FEN A 0028-00000129;CORDOBA;04/04/2026;Julieta Fernandez;PUBLICO;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;G1;42;1;79100
FEN A 0028-00000091;CORDOBA;20/03/2026;Julieta Fernandez;PUBLICO;DENEB SA;ZAPATILLA 3010 PAMPERO TREKKING;PA3010;H5;39;1;75145
FEN A 0028-00000206;CORDOBA;04/05/2026;Julieta Fernandez;PUBLICO;TKW S.A.;BOTIN RURAL RODEO;U372;G3;41;-1;-153800
FEN A 0028-00000184;CORDOBA;24/04/2026;Julieta Fernandez;PUBLICO;TKW S.A.;BOTIN RURAL RODEO;U372;G3;41;1;153800
FEN B 0028-00000053;CORDOBA;10/02/2026;Julieta Fernandez;PUBLICO;TKW S.A.;BOTIN RURAL RODEO;U372;H0;42;1;138410,1031
FEN B 0028-00000053;CORDOBA;10/02/2026;Julieta Fernandez;PUBLICO;TKW S.A.;BOTIN RURAL ARRIERO;U371;H0;42;1;138410,1025
FEN A 0028-00000117;CORDOBA;28/03/2026;Julieta Fernandez;PUBLICO;TKW S.A.;BOTIN RURAL ARRIERO;U371;H0;41;1;153800
FEN B 0028-00000380;CORDOBA;25/03/2026;Julieta Fernandez;PUBLICO;TKW S.A.;BOTIN RURAL RODEO;U372;H0;40;1;146100
FEN B 0028-00000175;CORDOBA;02/03/2026;Sofia Perazzo;PUBLICO;TKW S.A.;BOTIN RURAL ARRIERO;U371;H0;42;1;153800
FEN B 0028-00000136;CORDOBA;25/02/2026;Sofia Perazzo;PUBLICO;TKW S.A.;BOTIN RURAL ARRIERO;U371;H0;42;1;146110,0001
FEN B 0028-00000525;CORDOBA;13/04/2026;Sofia Perazzo;PUBLICO;TKW S.A.;BOTIN RURAL RODEO;U372;H0;41;1;153800
FEN B 0028-00000175;CORDOBA;02/03/2026;Sofia Perazzo;PUBLICO;TKW S.A.;BOTIN RURAL ARRIERO;U371;H0;43;-1;-153800
FEN B 0028-00000133;CORDOBA;24/02/2026;Nicolas Urricelqui;PUBLICO;CITEX SRL;PANCHA RANCHO;224122000;C4;42;1;56049,9968
FEN B 0028-00000031;CORDOBA;05/02/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANCHA RANCHO;224122000;C4;45;1;49200
FEN B 0028-00000110;CORDOBA;20/02/2026;Sofia Perazzo;PUBLICO;CITEX SRL;PANCHA RANCHO;224122000;C4;40;1;59000
FEN B 0028-00000069;CORDOBA;12/02/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANCHA RANCHO;224122000;C4;40;-1;-59000
FEN B 0028-00000069;CORDOBA;12/02/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANCHA RANCHO;224122000;C4;39;1;59000
CEN B 0028-00000007;CORDOBA;09/02/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANCHA RANCHO;224122000;C4;40;-1;-46728,1678
FEN B 0028-00000048;CORDOBA;09/02/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANCHA RANCHO;224122000;C4;40;1;46728,1678
FEN B 0028-00000047;CORDOBA;09/02/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANCHA RANCHO;224122000;C4;40;1;46728,1678
FEN B 0028-00000116;CORDOBA;21/02/2026;Julieta Fernandez;PUBLICO;CITEX SRL;PANCHA RANCHO;224122000;C4;41;1;56049,9996
FEN B 0028-00000418;CORDOBA;31/03/2026;Julieta Fernandez;PUBLICO;ELIHO TEXTIL S.R.L;MEDIA INVISIBLE LUNARES X3;143513005;V1;UNICO;1;14200
FCV B 0001-00000179;CORDOBA2;31/03/2026;Sofia Perazzo;PUBLICO;Caria Francisco Felix;BOMBILLA GRANDE PAMPERO;U45173126;V1;UNICO;1;8282,383
FCV B 0001-00000071;CORDOBA2;27/02/2026;Nicolas Urricelqui;PUBLICO;Caria Francisco Felix;BOMBILLA GRANDE PAMPERO;U45173126;V1;UNICO;1;6426,908
FCV B 0001-00000224;CORDOBA2;16/04/2026;Julieta Fernandez;PUBLICO;Caria Francisco Felix;BOMBILLA GRANDE PAMPERO;U45173126;V1;UNICO;1;8245,2827
FCV B 0001-00000113;CORDOBA2;10/03/2026;Julieta Fernandez;PUBLICO;Zeaiter Juan Sarquis;JUEGO DE TRINCHAR;U45173007;V1;UNICO;1;116993,1187
FCV B 0001-00000224;CORDOBA2;16/04/2026;Julieta Fernandez;PUBLICO;Zeaiter Juan Sarquis;MATE TUPUNGATO;U45173168;V1;UNICO;1;10754,7173
FCV B 0001-00000146;CORDOBA2;20/03/2026;Julieta Fernandez;PUBLICO;Zeaiter Juan Sarquis;MATE TUPUNGATO;U45173168;V1;UNICO;1;8400
FCV B 0050-00000032;CORDOBA2;29/04/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;BOMBILLA CHICA PAMPERO;U45173125;V1;UNICO;1;4550,0001
FCV B 0001-00000182;CORDOBA2;31/03/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;MATE LANIN  MADERA;U45173011;V1;UNICO;1;8460
FCV B 0050-00000032;CORDOBA2;29/04/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;MATE LANIN  MADERA;U45173011;V1;UNICO;1;6579,9999
FCV B 0001-00000106;CORDOBA2;07/03/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;MATE LANIN  MADERA;U45173011;V1;UNICO;1;8400
FCV B 0050-00000044;CORDOBA2;04/05/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;MATE TUPUNGATO;U45173168;V1;UNICO;1;10799,9974
FCV B 0001-00000029;CORDOBA2;11/02/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;MATE TUPUNGATO;U45173168;V1;UNICO;1;10134,668
FCV B 0001-00000071;CORDOBA2;27/02/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;MATE TUPUNGATO;U45173168;V1;UNICO;1;8382,9235
FCV B 0001-00000096;CORDOBA2;06/03/2026;Sofia Perazzo;PUBLICO;Zeaiter Juan Sarquis;SET YERBERO Y AZUCARERO CUERO;U45119001;V1;UNICO;1;12777,6983
FCV B 0001-00000026;CORDOBA2;11/02/2026;Sofia Perazzo;PUBLICO;Zeaiter Juan Sarquis;MATE CHALTEN;U45173162;V1;UNICO;1;15116,7945
FCV B 0001-00000077;CORDOBA2;02/03/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;BOMBILLA CINCELADA PAMPERO;U45173132;V1;UNICO;1;8556,9337
FCV B 0001-00000151;CORDOBA2;21/03/2026;Sofia Perazzo;PUBLICO;Pionera S.A.;BILLETERA ALERCE H. COMB. LONA PAMPERO;U091;C4;UNICO;1;20881,7045
FCV B 0050-00000044;CORDOBA2;04/05/2026;Nicolas Urricelqui;PUBLICO;Pionera S.A.;CANDADO PAMPERO;U00173507;H2;UNICO;1;10170,002
FCV B 0001-00000005;CORDOBA2;02/02/2026;Julieta Fernandez;PUBLICO;Pionera S.A.;BILLETERA PUNA CUERO;U398;G3;UNICO;1;46000
FCV B 0050-00000004;CORDOBA2;18/04/2026;Chistian Videla;PUBLICO;GUFFANTI SILVIA HELENA;PULSERA DECENARIO;U550;V1;UNICO;1;15645,6192
FCV B 0050-00000004;CORDOBA2;18/04/2026;Chistian Videla;PUBLICO;GUFFANTI SILVIA HELENA;PULSERA TRENZADA GAMUZA PAMPERO;843173010;V1;UNICO;1;15106,115
FCV B 0050-00000035;CORDOBA2;30/04/2026;Julieta Fernandez;PUBLICO;GUFFANTI SILVIA HELENA;PULSERA DECENARIO;U550;V1;UNICO;1;16000
FCV B 0001-00000110;CORDOBA2;10/03/2026;Julieta Fernandez;PUBLICO;GUFFANTI SILVIA HELENA;PULSERA TRENZADA GAMUZA PAMPERO;843173010;V1;UNICO;1;14175,3706
FCV B 0001-00000201;CORDOBA2;09/04/2026;Nicolas Urricelqui;PUBLICO;GUFFANTI SILVIA HELENA;PASAPAÑUELO LISO PAMPERO;U525;V1;UNICO;1;30340,3709
FCV B 0001-00000008;CORDOBA2;04/02/2026;Sofia Perazzo;PUBLICO;GUFFANTI SILVIA HELENA;COLLAR VIDRIO FACETADO;U597;V1;UNICO;1;29208,8586
FCV B 0001-00000093;CORDOBA2;05/03/2026;Sofia Perazzo;MAYORISTA;Guffanti Silvia Helena;PULSERA VIDRIO Y MEDALLA DE ALPACA;843173014;V1;UNICO;1;10437,9252
FCV B 0001-00000008;CORDOBA2;04/02/2026;Sofia Perazzo;PUBLICO;Guffanti Silvia Helena;PULSERA VIDRIO Y MEDALLA DE ALPACA;843173014;V1;UNICO;1;13481,0129
FCV B 0001-00000062;CORDOBA2;24/02/2026;Nicolas Urricelqui;PUBLICO;Guffanti Silvia Helena;PAÑUELO ESTAMPADO;442106005;V1;UNICO;1;22049,9985
FCV B 0001-00000201;CORDOBA2;09/04/2026;Nicolas Urricelqui;PUBLICO;Guffanti Silvia Helena;PAÑUELO ESTAMPADO;442106005;V1;UNICO;1;21992,2834
FCV B 0001-00000212;CORDOBA2;13/04/2026;Julieta Fernandez;PUBLICO;PAMPERO;NECESSAIRE PICABUEY LONA GRANDE;U433;E1;UNICO;1;25470,0007
FCV B 0001-00000214;CORDOBA2;13/04/2026;Julieta Fernandez;PUBLICO;Lopez Omar Alexis;CUELLO MULTIFUNCION;342106000;V1;UNICO;1;6100
FCV B 0001-00000071;CORDOBA2;27/02/2026;Nicolas Urricelqui;PUBLICO;Recalde Gaston Alberto;CHAPA Nº2 25X35;U667;V1;UNICO;1;9605,4338
FCV B 0001-00000228;CORDOBA2;17/04/2026;Sofia Perazzo;PUBLICO;Recalde Gaston Alberto;CHAPA Nº2 25X35;U667;V1;UNICO;1;12400
FCV B 0001-00000018;CORDOBA2;07/02/2026;Sofia Perazzo;PUBLICO;J.S. Purpura S.R.L.;SOMBRERO CAZADOR TAPANUCA;U41106002;E1;UNICO;1;21910,5672
FCV B 0050-00000024;CORDOBA2;27/04/2026;Nicolas Urricelqui;PUBLICO;J.S. Purpura S.R.L.;BUFANDA ESCOCESA;442173002;V1;UNICO;1;17201,8628
FCV B 0001-00000199;CORDOBA2;08/04/2026;Julieta Fernandez;PUBLICO;J.S. Purpura S.R.L.;BUFANDA ESCOCESA;442173002;V1;UNICO;1;17189,9997
FCV B 0001-00000205;CORDOBA2;10/04/2026;Julieta Fernandez;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;0
FCV B 0001-00000210;CORDOBA2;11/04/2026;Julieta Fernandez;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;3300
FCV B 0050-00000053;CORDOBA2;06/05/2026;Julieta Fernandez;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;3700
FCV B 0001-00000214;CORDOBA2;13/04/2026;Julieta Fernandez;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;0
FCV B 0001-00000021;CORDOBA2;10/02/2026;Julieta Fernandez;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;2;0
FCV B 0050-00000006;CORDOBA2;18/04/2026;Chistian Videla;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;3300
FCV B 0001-00000229;CORDOBA2;17/04/2026;Chistian Videla;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;2;6657,6698
FCV B 0001-00000166;CORDOBA2;26/03/2026;Nicolas Urricelqui;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;3700
FCV B 0050-00000044;CORDOBA2;04/05/2026;Nicolas Urricelqui;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;3330,0006
FCV B 0001-00000215;CORDOBA2;14/04/2026;Nicolas Urricelqui;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;3700
FCV B 0001-00000106;CORDOBA2;07/03/2026;Nicolas Urricelqui;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;0
FCV B 0001-00000222;CORDOBA2;15/04/2026;Nicolas Urricelqui;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;3400
FCV B 0001-00000115;CORDOBA2;11/03/2026;Nicolas Urricelqui;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;0
FCV B 0001-00000010;CORDOBA2;04/02/2026;Nicolas Urricelqui;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;0
FCV B 0050-00000041;CORDOBA2;04/05/2026;Sofia Perazzo;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;3321,4284
FCV B 0001-00000096;CORDOBA2;06/03/2026;Sofia Perazzo;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;3329,4004
FCV B 0050-00000002;CORDOBA2;18/04/2026;Sofia Perazzo;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;3700
FCV B 0001-00000071;CORDOBA2;27/02/2026;Nicolas Urricelqui;PUBLICO;CITEX SRL;YERBA MATE PAMPERO;U215;V1;UNICO;1;2584,7347
FCV B 0001-00000064;CORDOBA2;25/02/2026;Nicolas Urricelqui;PUBLICO;Corbellini Pablo Andres;BOINA GUARDA PAMPA 32CM;241122011;V1;UNICO;1;36000
FCV B 0001-00000037;CORDOBA2;12/02/2026;Julieta Fernandez;PUBLICO;Corbellini Pablo Andres;RUANA PESADA C/GUARDA;245122001;V1;UNICO;1;121499,999
FCV B 0001-00000212;CORDOBA2;13/04/2026;Julieta Fernandez;PUBLICO;ARTICULOS PROMOCIONALES SA;PARAGUAS RAINY;P258;H2;UNICO;1;23400,0007
FCV B 0001-00000096;CORDOBA2;06/03/2026;Sofia Perazzo;PUBLICO;ARTICULOS PROMOCIONALES SA;MATERA ESTRIBO POLIESTILENO;7799176008042;H2;UNICO;1;66408,0384
FEN B 0028-00000129;CORDOBA;24/02/2026;Julieta Fernandez;PUBLICO;Caria Francisco Felix;BOMBILLA GRANDE PAMPERO;U45173126;V1;UNICO;1;9200
FEN B 0028-00000055;CORDOBA;10/02/2026;Julieta Fernandez;PUBLICO;Caria Francisco Felix;BOMBILLA GRANDE PAMPERO;U45173126;V1;UNICO;1;9200
FEN B 0028-00000746;CORDOBA;06/05/2026;Nicolas Urricelqui;PUBLICO;Caria Francisco Felix;BOMBILLA GRANDE PAMPERO;U45173126;V1;UNICO;1;7819,9996
FEN B 0028-00000598;CORDOBA;18/04/2026;Chistian Videla;PUBLICO;Zeaiter Juan Sarquis;MATE TUPUNGATO;U45173168;V1;UNICO;1;11401,0349
FEN B 0028-00000188;CORDOBA;03/03/2026;Chistian Videla;PUBLICO;Zeaiter Juan Sarquis;BOMBILLA CHICA PAMPERO;U45173125;V1;UNICO;1;5845,9127
FEN B 0028-00000188;CORDOBA;03/03/2026;Chistian Videla;PUBLICO;Zeaiter Juan Sarquis;MATE LANIN  MADERA;U45173011;V1;UNICO;1;8454,0873
FEN B 0028-00000598;CORDOBA;18/04/2026;Chistian Videla;PUBLICO;Zeaiter Juan Sarquis;BOMBILLA CINCELADA PAMPERO;U45173132;V1;UNICO;1;9025,8194
FEN B 0028-00000638;CORDOBA;23/04/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;BOMBILLA CHICA PAMPERO;U45173125;V1;UNICO;1;4549,9998
FEN B 0028-00000160;CORDOBA;27/02/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;BOMBILLA CHICA PAMPERO;U45173125;V1;UNICO;2;9099,9989
CEN B 0028-00000021;CORDOBA;29/04/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;BOMBILLA CHICA PAMPERO;U45173125;V1;UNICO;-1;-4549,9998
FEN B 0028-00000638;CORDOBA;23/04/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;MATE LANIN  MADERA;U45173011;V1;UNICO;1;6579,9998
CEN B 0028-00000021;CORDOBA;29/04/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;MATE LANIN  MADERA;U45173011;V1;UNICO;-1;-6579,9998
FEN B 0028-00000675;CORDOBA;27/04/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;MATE ACONCAGUA PAMPERO;U45134003;V1;UNICO;1;39520
FEN B 0028-00000236;CORDOBA;07/03/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;MATE ACONCAGUA PAMPERO;U45134003;V1;UNICO;1;41600
FEN B 0028-00000683;CORDOBA;28/04/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;MATE CHALTEN;U45173162;V1;UNICO;1;15969,5828
FEN B 0028-00000683;CORDOBA;28/04/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;BOMBILLA CINCELADA PAMPERO;U45173132;V1;UNICO;1;9030,4172
FEN B 0028-00000551;CORDOBA;14/04/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;PORTA MATE PARA AUTO;U45119002;V1;UNICO;1;9600
FEN B 0028-00000551;CORDOBA;14/04/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;MATERA TILCARA PAMPERO;U45119000;V1;UNICO;1;25000
FEN B 0028-00000481;CORDOBA;08/04/2026;Nicolas Urricelqui;PUBLICO;Zeaiter Juan Sarquis;MATERA TILCARA PAMPERO;U45119000;V1;UNICO;1;23749,9997
FEN A 0028-00000012;CORDOBA;06/02/2026;Julieta Fernandez;PUBLICO;Zeaiter Juan Sarquis;MATE TUPUNGATO;U45173168;V1;UNICO;1;24749,9997
FEN B 0028-00000238;CORDOBA;07/03/2026;Julieta Fernandez;PUBLICO;Zeaiter Juan Sarquis;MATE TUPUNGATO;U45173168;V1;UNICO;1;12000
FEN B 0028-00000737;CORDOBA;05/05/2026;Julieta Fernandez;PUBLICO;Zeaiter Juan Sarquis;MATE TUPUNGATO;U45173168;V1;UNICO;1;12000
FEN B 0028-00000657;CORDOBA;25/04/2026;Julieta Fernandez;PUBLICO;Zeaiter Juan Sarquis;PORTA MATE PARA AUTO;U45119002;V1;UNICO;1;9600
FEN B 0028-00000051;CORDOBA;10/02/2026;Julieta Fernandez;PUBLICO;Zeaiter Juan Sarquis;PORTA MATE PARA AUTO;U45119002;V1;UNICO;1;8924,2916
FEN B 0028-00000079;CORDOBA;14/02/2026;Julieta Fernandez;PUBLICO;Zeaiter Juan Sarquis;JUEGO DE TRINCHAR;U45173007;V1;UNICO;1;130000
FEN B 0028-00000296;CORDOBA;13/03/2026;Julieta Fernandez;PUBLICO;Zeaiter Juan Sarquis;JUEGO PARRILLERO 18CM;U45173006;V1;UNICO;2;163200
FEN B 0028-00000238;CORDOBA;07/03/2026;Julieta Fernandez;PUBLICO;Zeaiter Juan Sarquis;BOMBILLA CHICA PAMPERO;U45173125;V1;UNICO;1;6500
FEN B 0028-00000154;CORDOBA;27/02/2026;Julieta Fernandez;PUBLICO;Zeaiter Juan Sarquis;JUEGO DE MESA 12CM;U45173124;V1;UNICO;1;50400
FEN B 0028-00000055;CORDOBA;10/02/2026;Julieta Fernandez;PUBLICO;Zeaiter Juan Sarquis;MATE ACONCAGUA PAMPERO;U45134003;V1;UNICO;1;41600
FEN B 0028-00000477;CORDOBA;08/04/2026;Sofia Perazzo;PUBLICO;Zeaiter Juan Sarquis;MATERA TILCARA PAMPERO;U45119000;V1;UNICO;1;25000
FEN B 0028-00000345;CORDOBA;20/03/2026;Sofia Perazzo;PUBLICO;Zeaiter Juan Sarquis;JUEGO DE MESA 12CM;U45173124;V1;UNICO;1;50400
